Academic,Subject,Review
James Helfrich (4.1),Computer Science,"His class was awesome,the courses done by him are awful. They are all reading+quiz class with little knowledge that can be used outside school."
James Helfrich,Computer Science,"He's a really tough grader. While most professors care more if the program passes testBed, he seems to care more about how it looks. He teaches very general concepts. He's always willing to help outside of class. I feel readier for the industry because of his class."
James Helfrich,Computer Science,"A great guy. A little quirky maybe, but a great guy nonetheless. I had to work my butt off to get a good grade in this class, but it was worth it. He is a tough grader but he is also very fair. If you prove to him that youre willing to work hard, he will help you. "
James Helfrich,Computer Science,"An awesome teacher, but I have not enjoyed his upper level classes. They're far too academic and lack practical application."
James Helfrich,Computer Science,"Questions are hard to answer/impossible to find. Quizzes just become a game of guess and check. Take it in person if you can, otherwise it'll be a miserable class."
James Helfrich,Computer Science,"His lectures are very clear; if you don't understand what he's teaching and ask a question, he'll make sure you understand it before moving on. However, if you need him outside of class, I wouldn't recommend him. He's not very personable on a one-on-one basis, is very offish. Funny lectures though."
James Helfrich,Computer Science,Great. I didn't regret taking him as my supervisor. The assignments were long and hard but he was a huge help. He is very vigilant on the class forums and is very on top of things. He grades fairly and gives great feedback. I understood exactly what I got docked for.
James Helfrich,Computer Science,The assignments where kind of hard but very long. If you go and see him in his office he can really explain concepts and help with assignments.
James Helfrich,Computer Science,"He is always cracking jokes and keeping the class interesting. I learned a lot of useful things that were necessarily in the textbook in class, and he was always around and really helpful when I needed to ask questions."
James Helfrich,Computer Science,"Loved this class. Very knowledgeable. You must do the homework before class to pass this class. It can be hard, so use a tutor. Once you do the homework he goes over it in class. I think you learn a lot. He is also hilarious."
James Helfrich,Computer Science,I liked the class. The tough parts were that you finish the homework on your own before he teaches anything about it. Also the projects become pretty difficult. If you put in the time then you've got a solid grade. Super helpful outside class.
James Helfrich,Computer Science,"He is a tougher teacher, but you learn so much more from him. He doesn't just help you understand the HOW but also the WHY of coding. He literally wrote the textbook."
James Helfrich,Computer Science,"He's very funny entertaining & he knows how to teach CS material more clear than anyone at the school. Go to his office for clear, concise help. If looking to learn CS very well, choose Him."
James Helfrich,Computer Science,"He teaches very methodically, so get ready to do all that you can so that you can pass the class. He expects you to read from the textbook because every single assignment he requires is from it, and it is essential for a passing grade. If you don't like his routine, the class will be very hard to pass."
